id,name,type,description,usage_steps/0,usage_steps/1,usage_steps/2,usage_steps/3,usage_steps/4,safety_precautions/0,safety_precautions/1,maintenance/0,maintenance/1,common_errors/0,common_errors/1,keywords/0,keywords/1,keywords/2,keywords/3,department
anesthesia_machine,Anesthesia Machine,Surgical,Delivers a mixture of anesthetic gases and oxygen to patients during surgery.,Check gas levels and flowmeters.,Connect to breathing circuit.,Adjust vaporizer settings and monitor patient.,,,Verify oxygen supply.,Check for leaks in the system.,Service vaporizers regularly.,Inspect hoses for wear.,Alarm trigger: Check gas delivery.,Leak detected: Reseal connections.,gas,surgery,oxygen,vaporizer,
digital_ot_light,Digital OT Light,Lighting,High-intensity LED lighting system used in operating theatres.,Turn on via control panel.,Adjust focus and intensity as needed.,Ensure shadows are minimized.,,,Avoid direct eye exposure.,Secure position before surgery.,Clean dome and filters weekly.,Check bulb life indicators.,Flicker: Replace LED module.,Control issue: Restart panel.,surgery,lighting,theatre,led,
otoscope,Otoscope,Diagnostic,Used to examine the ear canal and eardrum.,Attach disposable speculum.,Turn on light and gently insert.,Inspect canal and tympanic membrane.,,,Use clean speculum for each patient.,Avoid deep insertion.,Clean lens and handle.,Check bulb function.,No light: Replace bulb or battery.,Obstructed view: Clean lens.,ear,inspection,canal,ent,
surgical_suction_tip,Surgical Suction Tip,Surgical,Fine nozzle attached to suction machine for removing fluids during surgeries.,Connect tip to suction tubing.,Activate suction machine.,Use tip to evacuate blood or fluids.,,,Use sterile tips for each procedure.,Avoid touching internal tissues directly.,Dispose of single-use tips properly.,Check for clogging.,Blocked tip: Flush or replace.,Loose connection: Refit tubing.,aspiration,fluid,tip,surgery,
infusion_warmer,Infusion Warmer,Supportive,Warms IV fluids before administration to avoid hypothermia.,Insert IV line through warmer unit.,Set temperature.,Begin infusion with monitoring.,,,Do not exceed recommended temperature.,Avoid overheating sensitive fluids.,Clean external casing.,Calibrate heating element monthly.,Overheating: Stop and restart unit.,Sensor error: Reset or service.,warm,infusion,iv,supportive,
biohazard_container,Biohazard Waste Container,Sanitation,"Used for safe disposal of contaminated medical waste like sharps, swabs, etc.",Place container in treatment area.,Dispose of hazardous items only.,Seal when full and label for pickup.,,,Do not overfill.,Use gloves while disposing.,Replace when 3/4 full.,Check lid function.,Lid jam: Use another container.,Spillage: Report and decontaminate.,disposal,hazard,waste,container,
hearing_audiometer,Audiometer,Diagnostic,Measures hearing acuity by generating tones at various frequencies and volumes.,Place headphones on patient.,Conduct test by varying tone frequencies.,Record patient response.,,,Use quiet room for accuracy.,Adjust sound slowly.,Calibrate annually.,Clean headphones regularly.,No sound: Check cable connection.,Distortion: Replace transducer.,hearing,sound,ear,audiology,
exam_lamp,Examination Lamp,Lighting,Provides focused light for detailed examination during clinical assessments.,Position lamp over area of interest.,Switch on and adjust brightness.,Focus beam as needed.,,,Avoid shining in eyes.,Do not touch hot bulb surface.,Clean lens and base.,Replace bulbs as required.,Dull light: Clean lens or replace bulb.,Arm loose: Tighten joints.,examination,lamp,focused,light,
spirometer,Spirometer,Diagnostic,Measures lung function by assessing the volume of air inhaled and exhaled.,Instruct patient to sit upright.,Attach disposable mouthpiece.,Ask patient to inhale deeply and exhale forcefully into device.,,,Use new mouthpiece per patient.,Avoid testing during respiratory infection.,Clean flow sensors daily.,Calibrate weekly.,Inaccurate reading: Recalibrate.,Sensor error: Clean and retry.,lungs,breathing,volume,pulmonary,
cpap_machine,CPAP Machine,Therapeutic,Provides continuous positive airway pressure to treat sleep apnea and respiratory distress.,Fit mask securely on the patient.,Adjust pressure settings as prescribed.,Turn on the device and monitor breathing.,,,Ensure humidifier chamber has water.,Use clean filters and mask liners.,Replace air filters monthly.,Clean tubing and humidifier chamber weekly.,Air leak: Readjust mask.,Dryness: Add distilled water to humidifier.,sleep apnea,airway,respiratory,homecare,
tongue_depressor,Tongue Depressor,Diagnostic,Flat wooden or plastic tool used to depress the tongue during oral and throat examinations.,Ask patient to open mouth.,Use depressor to gently press the tongue.,Inspect throat and oral cavity.,,,Use single-use item per patient.,Dispose immediately after use.,"Store in a clean, dry container.",Keep sealed until use.,Breakage: Use high-quality tool.,Discomfort: Apply gently.,oral,throat,check,examination,
hematology_analyzer,Hematology Analyzer,Laboratory,Automated machine that counts blood cells and provides complete blood count (CBC) analysis.,Load blood sample in tube holder.,Initiate analysis on touchscreen.,Review and print the report.,,,Use gloves while handling samples.,Avoid reagent spillage.,Clean sample probe daily.,Replace reagents and perform calibration monthly.,Clot detected: Repeat with new sample.,Error code: Refer to manual.,cbc,blood,lab,analysis,
medicine_trolley,Medicine Trolley,Supportive,Mobile cart used to store and transport medications and supplies within hospitals or clinics.,Organize medicines by type and patient.,Lock drawers when not in use.,Push to bedside for administration.,,,Label compartments clearly.,Do not leave unattended in hallway.,Clean surfaces daily.,Oil wheels monthly.,Stuck drawer: Lubricate track.,Missing items: Check inventory list.,medication,mobile,hospital,nurse,
incision_scalpel,Scalpel,Surgical,Precision surgical blade used for making incisions during operations.,Hold handle firmly.,Make precise incision as required.,Dispose blade after use if disposable.,,,Use blade guard when not in use.,Dispose used blade in sharps container.,Sterilize reusable handles.,Store blades in sterile packaging.,Blade dull: Replace blade.,Handle loose: Reattach securely.,cutting,surgery,blade,incision,
nasal_speculum,Nasal Speculum,Diagnostic,Instrument used to widen the nostrils for examination of the nasal cavity.,Hold in dominant hand.,Insert gently into the nostril.,Open blades slightly to inspect inside.,,,Warm instrument before use.,Avoid over-opening.,Clean and autoclave after each use.,Check hinge movement.,Loose tension: Adjust screw.,Contamination: Use sterilized tool.,nose,inspection,ent,examination,
electric_cautery,Electrocautery Unit,Surgical,Uses electricity to cut tissue or stop bleeding during surgical procedures.,Connect electrodes and grounding pad.,Set appropriate power settings.,Use pencil or pad to cauterize tissue.,,,Ensure grounding pad contact.,Avoid flammable gases nearby.,Check electrode tips for carbon build-up.,Inspect wires and pad regularly.,No spark: Check connections.,Burn risk: Reduce power setting.,burn,cut,bleeding,cautery,
bp_digital,Digital Blood Pressure Monitor,Diagnostic,Electronic device that measures systolic and diastolic blood pressure automatically.,Wrap cuff around upper arm.,Press start and remain still.,Read systolic/diastolic values on screen.,,,Do not move during measurement.,Ensure cuff is at heart level.,Replace batteries when needed.,Wipe cuff regularly.,Error code: Reposition cuff.,Low battery: Replace batteries.,bp,automatic,vital,screen,
orthopedic_drill,Orthopedic Drill,Surgical,Powered device used for drilling bones during orthopedic surgeries.,Select appropriate drill bit.,Secure bit into chuck.,Use steady pressure while drilling bone.,,,Use protective eyewear.,Avoid overheating bone tissue.,Sterilize drill after use.,Lubricate internal mechanisms.,Overheating: Pause and cool.,Battery drain: Recharge before use.,bone,surgery,drill,orthopedic,
vein_finder,Vein Finder,Diagnostic,Uses infrared light to help locate veins for injections or IV placement.,Turn on the device.,Hold it over the patient’s skin.,Identify suitable vein for insertion.,,,Do not shine directly into eyes.,Clean surface between uses.,Wipe lens with soft cloth.,Charge battery regularly.,Blurry projection: Clean lens.,Low brightness: Recharge device.,vein,infrared,injection,phlebotomy,
surgical_gown,Surgical Gown,Protective,Sterile garment worn during surgery to prevent transmission of infection.,Wear after scrubbing hands.,Secure ties and ensure proper fit.,Avoid touching non-sterile surfaces.,,,Use once per procedure.,Dispose in biohazard bin after use.,Store in sterile packs.,Inspect packaging before use.,Torn gown: Replace immediately.,"Wet spots: Use dry, sterile replacement.",sterile,protection,operation,disposable,
laryngoscope,Laryngoscope,Surgical,Tool used to view the vocal cords and facilitate intubation.,Select proper blade size.,Insert into mouth along tongue.,Lift to expose larynx for tube insertion.,,,Check bulb before procedure.,Use gentle movements to avoid injury.,Clean and autoclave after use.,Replace damaged blades.,No light: Replace bulb or battery.,Loose blade: Reattach securely.,airway,intubation,larynx,emergency,
sphygmomanometer,Sphygmomanometer,Diagnostic,Manual device for measuring blood pressure using a cuff and stethoscope.,Wrap cuff around arm.,Inflate and listen to pulse via stethoscope.,Release air and note systolic/diastolic pressure.,,,Do not overinflate.,Place cuff correctly above elbow.,Check for air leaks.,Clean cuff regularly.,Air leak: Replace bladder or valve.,Inaccurate reading: Recalibrate gauge.,bp,manual,pressure,diagnosis,
oxygen_cylinder,Oxygen Cylinder,Respiratory,Portable metal container that stores compressed medical oxygen for patient use.,Attach regulator and flow meter.,Open valve and adjust flow rate.,Connect to nasal cannula or mask.,,,Store upright and secured.,Keep away from flames.,Check for leaks regularly.,Service valve and regulator.,Low pressure: Replace or refill.,Leaking valve: Tighten or replace.,oxygen,gas,breathing,emergency,
colposcope,Colposcope,Diagnostic,Magnifies and illuminates the cervix for gynecological examination.,Position patient in lithotomy position.,Adjust light and magnification.,Inspect cervical area clearly.,,,Sanitize contact points.,Avoid shining light in eyes.,Clean lenses regularly.,Check bulbs and adjust focus.,Blurred view: Clean or refocus lens.,Bulb failure: Replace immediately.,cervix,examination,gynecology,visual,
hospital_gurney,Hospital Gurney,Mobility Aid,Wheeled stretcher used to transport patients within healthcare facilities.,Lower side rails for transfer.,Adjust backrest or height.,Lock wheels before loading/unloading.,,,Secure patient with straps.,Always lock brakes when stationary.,Clean mattress and frame daily.,Oil wheels monthly.,Wheel stuck: Lubricate or replace.,Broken latch: Repair immediately.,transport,stretcher,wheel,emergency,
autoclave_machine,Autoclave Machine,Sterilization,Uses steam pressure to sterilize surgical and clinical instruments.,Load items into chamber.,Set sterilization temperature and time.,Allow cycle to complete before removing items.,,,Do not open while pressurized.,Wear heat-resistant gloves.,Descale monthly.,Inspect door seal and pressure gauge.,Incomplete cycle: Restart or check settings.,Steam leak: Check seal or valve.,sterile,steam,pressure,clinic,
peak_flow_meter,Peak Flow Meter,Diagnostic,Measures peak expiratory flow to monitor lung function in asthma patients.,Inhale deeply and place mouth on device.,Exhale forcefully into the mouthpiece.,Record peak flow reading.,,,Use personal device per patient.,Disinfect between uses.,Clean with mild soap.,Inspect internal spring for wear.,Low reading: Repeat test.,Clogged device: Clean immediately.,lungs,asthma,flow,monitor,
infusion_pump,Infusion Pump,Infusion,Delivers fluids and medications into a patient’s body in controlled amounts.,Program dosage and rate.,Insert IV tubing into pump.,Start infusion and monitor delivery.,,,Check for air bubbles in line.,Use correct tubing type.,Calibrate monthly.,Clean device surface after each use.,Air-in-line alarm: Re-prime tubing.,Inaccurate rate: Reprogram settings.,fluid,iv,drip,hospital,
neurohammer,Neurological Reflex Hammer,Diagnostic,Used by healthcare professionals to test deep tendon reflexes during neurological exams.,Hold hammer by the handle.,Strike tendon areas like the knee or elbow.,Observe patient’s reflex response.,,,Strike gently to avoid injury.,Do not use if cracked or damaged.,Clean rubber head regularly.,Check for loose parts or damage.,No response: Retest with proper technique.,Worn rubber head: Replace.,reflex,neurology,hammer,diagnosis,
pulse_oximeter,Pulse Oximeter,Monitoring,Non-invasive device that measures oxygen saturation and pulse rate through a finger sensor.,Place sensor on fingertip.,Turn on the device.,Wait for stable reading to display.,,,Ensure finger is clean and dry.,Avoid use during strong movement.,Clean sensor after use.,Replace batteries when low.,Inaccurate reading: Reposition or clean sensor.,No power: Replace battery.,oxygen,spo2,monitor,vital,
ventilator,Ventilator,Respiratory Support,Mechanical device that assists or replaces spontaneous breathing in patients.,Connect patient to ventilator via endotracheal tube.,"Set tidal volume, rate, and FiO2.",Monitor patient’s vitals and alarms.,,,Ensure secure airway connection.,Monitor for pressure alarms.,Check tubing and filters daily.,Service machine monthly.,Tube disconnection: Reconnect immediately.,Alarm error: Check circuit or settings.,breathing,life support,icu,respirator,
fetal_doppler,Fetal Doppler,Diagnostic,Handheld ultrasound device that detects fetal heartbeat during pregnancy.,Apply gel on lower abdomen.,Place probe and move until heartbeat is audible.,Listen and record fetal heart rate.,,,Use only for brief intervals.,Disinfect probe after each use.,Wipe screen and probe regularly.,Replace batteries as needed.,No sound: Reposition probe or check battery.,Distortion: Reduce gel or adjust angle.,pregnancy,heartbeat,ultrasound,obstetric,
eye_chart,Snellen Eye Chart,Diagnostic,Printed chart used to measure visual acuity by having patients read letters from a distance.,Place chart 6 meters away.,Cover one eye and read aloud.,Record the smallest readable line.,,,Ensure good lighting in the room.,Keep chart at eye level.,Keep chart clean and unwrinkled.,Replace faded or torn charts.,Incorrect distance: Reposition patient.,Misaligned chart: Adjust height.,vision,acuity,eye,ophthalmology,
lab_centrifuge,Laboratory Centrifuge,Laboratory,Spins samples at high speed to separate components like plasma or cells based on density.,Balance tubes symmetrically in rotor.,Set speed and time.,Start and wait for completion before opening.,,,Do not open lid during operation.,Use proper tube caps to prevent spills.,Clean rotor regularly.,Calibrate speed settings monthly.,Unbalanced rotor: Redistribute tubes evenly.,Lid won’t open: Wait until full stop.,plasma,separation,blood,lab,
defibrillator,Defibrillator,Emergency,Delivers a controlled electric shock to restore normal heart rhythm in cardiac arrest.,Turn on and follow voice prompts.,Place adhesive pads on chest as shown.,Stand clear and press shock button if advised.,,,Do not touch patient during shock.,Ensure dry contact points.,Check battery and pads monthly.,Run self-test weekly if available.,Low battery: Replace or recharge.,Pad connection issue: Reattach or replace pads.,aed,shock,cardiac arrest,emergency,
surgical_headlight,Surgical Headlight,Lighting,Wearable light source that provides focused illumination during surgeries.,Adjust head strap for comfort.,Switch on and aim beam at target area.,Adjust brightness if needed.,,,Avoid shining directly into others’ eyes.,Ensure battery is charged before procedure.,Clean lens regularly.,Check head strap tension and replace if worn.,Dim light: Recharge or replace battery.,Unstable fit: Adjust headband.,surgery,lighting,focus,portable,
sterile_drape,Sterile Drape,Protective,Barrier used to maintain a sterile field around surgical or procedural sites.,Open package without touching inner surface.,Drape over area maintaining sterility.,Do not adjust after placement.,,,Use only once per procedure.,Avoid tearing or wet spots.,Store in sealed sterile packaging.,Inspect packaging before use.,Contamination: Replace immediately.,Improper coverage: Use larger drape.,cover,barrier,sterile,procedure,
blood_gas_analyzer,Blood Gas Analyzer,Laboratory,"Analyzes arterial blood samples to measure pH, oxygen, and carbon dioxide levels.",Insert sample cartridge or syringe.,Select test on screen.,Wait for automatic printout or digital result.,,,Use fresh samples to avoid inaccuracy.,Handle blood safely using PPE.,Calibrate daily.,Clean sample port regularly.,Clot in sample: Use new syringe.,Out-of-range result: Reanalyze sample.,arterial,ph,co2,abg,
urine_analyzer,Urine Analyzer,Diagnostic,"Automated device that tests urine samples for various parameters including glucose, protein, and ketones.",Insert test strip into the analyzer.,Dip strip into urine sample.,Read and record automated results.,,,Wear gloves while handling urine.,Avoid spilling onto machine.,Clean strip slot daily.,Calibrate regularly.,Invalid strip: Use approved brand.,Reading delay: Restart machine.,urine,test,lab,analysis,
hearing_aid,Hearing Aid,Therapeutic,Device that amplifies sound for individuals with hearing loss.,Insert hearing aid into ear canal.,Turn on and adjust volume.,Replace battery as needed.,,,Avoid exposure to moisture.,Clean tips regularly.,Replace wax guards monthly.,Check battery contacts weekly.,No sound: Change battery or clean tip.,Feedback noise: Reposition device.,hearing,sound,amplifier,aid,
digital_thermometer_rectal,Rectal Digital Thermometer,Diagnostic,Used to measure core body temperature via the rectal route.,Apply lubricant on the tip.,Insert gently into the rectum.,Wait for beep and read temperature.,,,Use single-patient thermometers when possible.,Sanitize after each use.,Replace battery periodically.,Clean with alcohol wipes.,Inaccurate reading: Recalibrate.,No beep: Replace battery.,temperature,core,thermometer,diagnosis,
emergency_crash_cart,Crash Cart,Emergency,Mobile unit that contains life-saving medications and equipment for medical emergencies.,Verify all essential supplies are stocked.,Unlock cart during emergencies.,Follow ACLS protocol while using equipment.,,,Check defibrillator and oxygen readiness daily.,Lock cart after use.,Inventory and seal cart weekly.,Check expiry dates monthly.,Missing items: Restock immediately.,Dead battery: Replace in defibrillator.,emergency,resuscitation,acls,medications,
surgical_sponge_forceps,Sponge Forceps,Surgical,Clamp-like instrument used to hold gauze or sponges during surgeries or procedures.,Pick up sponge or gauze with forceps.,Apply pressure or clean area.,Discard in proper bin after use.,,,Ensure sterility before use.,Avoid contact with non-sterile surfaces.,Sterilize after each use.,Check for loose joints.,Slipping sponge: Readjust grip.,Rusty tip: Replace instrument.,clamp,gauze,forceps,surgery,
hospital_bed_remote,Electric Hospital Bed,Supportive,Adjustable bed that allows for positioning of patients via remote control.,Use remote to raise or lower sections.,Lock bed wheels after adjustment.,Position patient comfortably.,,,Avoid pinching limbs during movement.,Ensure power cable is secured.,Check motors monthly.,Clean mattress and control panel.,Remote unresponsive: Check cable or battery.,Motor noise: Lubricate or service.,bed,patient,electric,mobility,
dermascope,Dermatoscope,Diagnostic,Handheld device that provides magnification and light to examine skin lesions.,Apply gel on lesion if needed.,Place scope against skin.,Examine for irregular patterns.,,,Disinfect lens after use.,Avoid eye contact with light.,Charge battery or replace as needed.,Clean lens and housing.,Blurry image: Clean or refocus.,No light: Replace battery.,skin,lesion,dermatology,scope,
stretcher_with_iv_pole,Stretcher with IV Pole,Mobility Aid,Patient transport stretcher with an integrated IV pole for fluid administration.,Position patient safely.,Lock wheels before transport.,Hang IV fluids securely.,,,Secure patient with straps.,Ensure IV line is not kinked.,Clean mattress and frame daily.,Check IV pole stability weekly.,Pole loose: Tighten or adjust.,Wheel stuck: Oil casters.,transport,iv,patient,hospital,
digital_scales,Digital Weighing Scale,Diagnostic,Measures body weight digitally for clinical monitoring.,Place scale on flat surface.,Ask patient to stand still.,Read weight on display.,,,Ensure dry platform to avoid slipping.,Do not exceed max load capacity.,Wipe platform regularly.,Replace batteries as required.,Inaccurate weight: Recalibrate.,Display error: Change batteries.,weight,measurement,scale,bmi,
tourniquet,Medical Tourniquet,Supportive,Elastic band used to restrict blood flow to assist with venipuncture or emergency bleeding control.,Wrap around limb above puncture site.,Tighten until vein is visible or bleeding slows.,Release promptly after procedure.,,,Do not leave on for more than 1 minute.,Avoid excessive pressure.,Clean reusable types with disinfectant.,"Store in dry, clean place.",Overtightening: Loosen or remove immediately.,Worn elasticity: Replace tourniquet.,blood,vein,pressure,injection,
eye_occluder,Eye Occluder,Diagnostic,A paddle-shaped tool used to cover one eye during vision testing.,Ask the patient to sit facing the eye chart.,Place occluder over one eye without pressing.,Conduct vision test on the uncovered eye.,,,Clean before reuse.,Handle gently to avoid patient discomfort.,Sanitize after each use.,Store in a clean case.,Patient discomfort: Adjust position.,Scratched surface: Replace occluder.,vision,test,eye,ophthalmology,
emergency_suction_unit,Portable Suction Unit,Emergency,"Removes secretions, fluids, or vomit from the airway to ensure clear breathing.",Connect suction tubing and canister.,Turn on unit and set pressure.,Insert catheter and begin suctioning.,,,Use sterile catheter.,Monitor suction pressure.,Empty and disinfect canister daily.,Inspect filters and tubing.,Weak suction: Check battery or tubing.,Overflow: Empty canister.,suction,airway,fluid,portable,
autoinjector,Auto-Injector,Therapeutic,"Preloaded device that delivers a fixed dose of medication, often used for emergencies like anaphylaxis.",Remove safety cap.,Press firmly against thigh.,Hold for 10 seconds and remove.,,,Check expiry date.,Store at room temperature.,Inspect regularly for damage.,Replace before expiration.,Failure to activate: Apply more pressure.,Expired dose: Replace immediately.,epipen,injection,allergy,medication,
pediatric_incubator,Infant Incubator,Therapeutic,"Provides a warm, controlled environment for premature or ill newborns.",Place baby inside via access ports.,Set temperature and humidity levels.,Monitor vitals and adjust as needed.,,,Avoid sudden temp changes.,Keep power uninterrupted.,Clean chamber regularly.,Check sensors monthly.,Temperature fluctuation: Recalibrate.,Alarm: Check oxygen or heat settings.,neonatal,warmth,premature,icu,
gait_belt,Gait Belt,Mobility Aid,Assists caregivers in safely transferring or ambulating patients.,Secure belt around patient's waist.,Hold from back or side.,Support while walking or standing.,,,Ensure proper fit and grip.,Avoid pulling too tightly.,Wash fabric belt routinely.,Check buckle integrity.,Loose buckle: Adjust and tighten.,Frayed strap: Replace.,transfer,rehab,mobility,nurse,
surgical_stapler,Surgical Stapler,Surgical,Used to close wounds or surgical incisions quickly using metal staples.,Align wound edges.,Position stapler and press trigger.,Check staple closure.,,,Use only on recommended tissue.,Sterilize reusable types.,Check spring and trigger mechanism.,Store sterile versions properly.,Staple misfire: Remove and restaple.,Jammed mechanism: Replace unit.,closure,wound,metal,operation,
otoscope,Otoscope,Diagnostic,Device for examining the ear canal and eardrum.,Attach disposable speculum.,Insert gently into ear canal.,Observe via lens or screen.,,,Avoid deep insertion.,Use new speculum per patient.,Wipe lens and handle.,Replace batteries or bulb.,No light: Check power source.,Blurry view: Clean or adjust focus.,ear,hearing,inspection,ent,
dialysis_machine,Dialysis Machine,Therapeutic,Removes waste and excess fluids from the blood in patients with kidney failure.,Connect patient via vascular access.,Start filtration cycle.,Monitor vitals and fluid removal.,,,Use aseptic technique.,Monitor blood pressure regularly.,Disinfect after each session.,Check filters and tubing.,Alarm: Check fluid balance or tubing.,Clotting: Flush access line.,renal,filtration,blood,hemodialysis,
surgical_smoke_evacuator,Smoke Evacuator,Surgical,Removes surgical smoke and airborne particles during electrosurgery or laser use.,Place nozzle near surgical site.,Turn on evacuator before cutting.,Monitor suction and replace filter as needed.,,,Position correctly for max efficiency.,Replace filters regularly.,Clean tubing and casing.,Replace HEPA filters monthly.,Low suction: Check hose blockage.,Noise: Inspect fan.,smoke,surgery,air,filtration,
telemedicine_cart,Telemedicine Cart,Diagnostic,"Mobile workstation for remote consultation equipped with monitor, webcam, and diagnostic tools.",Power on and connect to network.,Position cart near patient.,Start video consultation and use peripherals.,,,Maintain patient privacy.,Sanitize surfaces between uses.,Check audio/video functionality.,Update software monthly.,Audio/video lag: Restart or check network.,Unresponsive tools: Reconnect peripherals.,remote,consult,virtual,monitor,
wound_dressing_kit,Wound Dressing Kit,Supportive,Sterile kit containing materials for cleaning and covering wounds.,Open sterile pack.,Clean wound with saline.,Apply dressing and secure.,,,Use gloves.,Avoid contaminating the sterile field.,Restock supplies regularly.,Check expiry of contents.,Insufficient coverage: Use larger dressing.,Expired items: Replace kit.,dressing,bandage,wound,sterile,
video_laryngoscope,Video Laryngoscope,Surgical,Device with camera to visualize the larynx during intubation.,Insert blade into mouth.,Visualize vocal cords on screen.,Insert tube while watching display.,,,Disinfect screen and blade.,Avoid forceful insertion.,Clean camera lens after each use.,Charge battery fully.,No image: Check connections.,Blurred screen: Clean lens.,airway,intubation,camera,emergency,
heat_lamp,Medical Heat Lamp,Therapeutic,Emits infrared radiation for muscle relaxation and improved circulation.,Position lamp at safe distance.,Turn on and aim at target area.,Use for prescribed duration.,,,Do not touch hot surfaces.,Avoid prolonged exposure.,Clean bulb cover weekly.,Replace bulb when dim.,Bulb failure: Replace.,No heat: Check power supply.,heat,muscle,therapy,infrared,
dental_chair,Dental Chair,Supportive,Adjustable chair used during dental examinations and procedures.,Position patient comfortably.,Adjust headrest and recline as needed.,Lock chair during procedure.,,,Avoid rapid movements.,Disinfect between patients.,Check motor and hydraulics.,Clean upholstery daily.,Chair not moving: Inspect controls.,Hydraulic leak: Service immediately.,dental,examination,support,clinic,
laparoscope,Laparoscope,Surgical,Instrument for minimally invasive abdominal surgeries with camera visualization.,Insert trocar and scope.,Connect to display system.,Navigate internally via controls.,,,Ensure sterility.,Handle optics with care.,Clean optics with alcohol.,Store in padded case.,Blurry image: Clean lens.,Cable loose: Reconnect.,abdominal,scope,camera,laparoscopy,
portable_ultrasound,Portable Ultrasound Machine,Diagnostic,Handheld or compact unit for bedside imaging of internal structures.,Apply gel to probe.,Select imaging mode.,Scan area and interpret image.,,,Avoid dropping probe.,Use only with trained personnel.,Disinfect probe after use.,Charge battery regularly.,Frozen screen: Restart.,No signal: Check cable.,imaging,portable,bedside,scan,
nebulizer_machine,Nebulizer,Respiratory,Converts liquid medication into a mist for inhalation therapy.,Add medication to chamber.,Connect mask or mouthpiece.,Turn on and inhale mist.,,,Use medication as prescribed.,Clean mask and chamber after use.,Replace filters monthly.,Rinse and dry components.,Low mist: Clean chamber.,No airflow: Check tubing.,asthma,respiratory,inhalation,breath,
height_measuring_scale,Stadiometer,Diagnostic,Used to measure a patient's height accurately in clinical settings.,Have patient stand straight.,Lower headpiece gently.,Record the measurement.,,,Ensure stable placement.,Patient should be barefoot.,Clean regularly.,Calibrate if digital.,Loose rod: Tighten.,Wrong value: Reposition patient.,height,measure,physical,scale,
laryngeal_mask_airway,Laryngeal Mask Airway (LMA),Emergency,Provides a secure airway during anesthesia or emergency ventilation.,Lubricate and insert device.,Inflate cuff to seal airway.,Connect to ventilator or bag.,,,Do not overinflate.,Verify placement via chest rise.,Dispose if single-use.,Sterilize reusable types.,Air leak: Reposition or reinflate.,Blockage: Remove and suction.,airway,ventilation,anesthesia,emergency,
glucose_monitor,Blood Glucose Monitor,Diagnostic,Measures blood sugar levels using test strips and a digital reader.,Insert strip and apply blood drop.,Wait for reading.,Record result if needed.,,,Use only one strip per test.,Disinfect finger before lancing.,Check battery level.,Clean strip port gently.,Error code: Reinsert strip.,Low reading: Repeat test.,diabetes,sugar,glucose,monitor,
bone_saw,Oscillating Bone Saw,Surgical,Used in orthopedic procedures to cut bone precisely and cleanly.,Secure the area.,Activate the saw.,Guide through bone gently.,,,Wear PPE and goggles.,Use only with bone contact.,Sterilize blade after use.,Inspect power cord and blade.,Jammed blade: Stop and inspect.,Excess vibration: Tighten blade.,bone,orthopedic,cut,oscillating,
ambu_bag,Bag Valve Mask (Ambu Bag),Emergency,Handheld device for manual ventilation in patients with respiratory failure.,Place mask on patient’s face.,Squeeze bag to deliver breaths.,Watch for chest rise.,,,Avoid overventilation.,Ensure mask seal.,Disassemble and sterilize parts.,Check valve function regularly.,Leak: Reposition mask.,Valve failure: Replace unit.,manual,ventilation,rescue,oxygen,
lead_apron,Lead Apron,Protective,Protective clothing used during radiological procedures to block harmful X-rays.,Drape apron over front of body.,Ensure it covers thyroid and chest.,Remove after procedure.,,,Inspect for cracks or tears.,Do not fold apron.,Store flat or on hanger.,Clean with mild detergent.,Worn shielding: Replace apron.,Improper fit: Use correct size.,xray,radiation,protection,lead,
resuscitation_mask,CPR Mask,Emergency,Barrier device used during CPR to provide breaths while protecting rescuer.,Place mask over patient's nose and mouth.,Tilt head and give breaths.,Check for chest rise.,,,Use one-way valve mask.,Disinfect after use.,Check seal and valve.,Store in clean case.,Poor seal: Reposition mask.,Valve blocked: Replace.,cpr,breath,barrier,emergency,
hematology_analyzer,Hematology Analyzer,Laboratory,"Performs automated blood counts including RBC, WBC, and platelets.",Insert blood sample vial.,Select analysis mode.,Print or review results.,,,Handle blood with PPE.,Avoid sample clotting.,Clean probes and tubing daily.,Run calibration control weekly.,Clot error: Use fresh sample.,Sample rejection: Reanalyze.,cbc,blood,counts,lab,
infusion_warmer,Infusion Warmer,Therapeutic,Warms IV fluids before administration to prevent hypothermia.,Connect IV line through the warming unit.,Set desired temperature.,Start infusion and monitor warmth.,,,Do not exceed safe temperature range.,Monitor patient for burns or discomfort.,Clean external surfaces daily.,Check calibration monthly.,Overheat alarm: Lower temperature setting.,No heating: Check power supply.,iv,fluid,warming,hypothermia,
nasogastric_tube,Nasogastric Tube,Supportive,Tube inserted through the nose into the stomach for feeding or decompression.,Lubricate tube and insert via nostril.,Advance gently into stomach.,Verify placement before use.,,,Check for gag reflex during insertion.,Confirm placement via aspiration or X-ray.,Flush with saline regularly.,Replace as per protocol.,Tube misplacement: Reinsert.,Blockage: Irrigate or replace.,feeding,stomach,tube,nutrition,
doppler_fetal_monitor,Fetal Doppler,Diagnostic,Portable ultrasound device used to detect fetal heartbeat.,Apply gel to mother’s abdomen.,Place probe and adjust angle.,Listen for fetal heart sounds.,,,Use medical-grade ultrasound gel.,Avoid prolonged use.,Clean probe after each use.,Check battery or cable regularly.,No sound: Reposition probe.,Weak signal: Check battery.,pregnancy,heartbeat,baby,monitor,
